Price,z0,z1,z2
31498.5,1.2554076,-0.03706373,0.31456783
31506.5,1.2444544,-0.045877505,0.14507459
31506.5,1.260237,-0.06041305,0.20065522
31498.0,1.2561893,-0.06559454,0.07292179
31528.0,1.2351217,-0.04959332,0.089601554
31550.0,1.2600111,-0.049233,0.0603484
31555.0,1.2695345,-0.04384399,-0.048378266
31575.0,1.2594568,-0.05105302,-0.10199075
31570.5,1.2736615,-0.06333692,-0.03142567
31571.0,1.2595938,-0.053330142,-0.038263068
31562.5,1.2521901,-0.041431937,0.017745344
31557.5,1.2546113,-0.040014125,-0.14098439
31569.0,1.2536556,-0.043324213,-0.17213851
31562.5,1.2590392,-0.051408418,-0.20468956
31559.5,1.2592825,-0.046911325,-0.22446679
31556.5,1.2464865,-0.035493482,-0.21450788
31550.0,1.2541934,-0.03507381,-0.20452893
31542.5,1.235089,-0.035003435,-0.25090027
31542.0,1.231014,-0.031814247,-0.28769648
31558.5,1.2581661,-0.044633303,-0.3183115
31588.5,1.2557368,-0.058892835,-0.27875182
31583.0,1.2415067,-0.058089383,-0.2299197
31587.5,1.233158,-0.047403704,-0.3553919
31577.5,1.2428498,-0.0635566,-0.39715192
31566.0,1.244297,-0.07383847,-0.37628046
31566.0,1.244745,-0.07196522,-0.32533973
31587.5,1.2645128,-0.05781157,-0.3194224
31578.5,1.2691532,-0.07034439,-0.35615847
31578.5,1.245002,-0.07735264,-0.3992463
31589.5,1.2254959,-0.077474326,-0.44124526
31580.5,1.2231385,-0.07706675,-0.44679675
31558.0,1.2249271,-0.0707525,-0.34758082
31556.0,1.2338661,-0.057122316,-0.24395029
31556.5,1.2458414,-0.054687742,-0.23022507
31558.5,1.2787348,-0.10311343,-0.26329577
31554.5,1.2791344,-0.12934332,-0.13598612
31541.5,1.2646955,-0.09249556,-0.21151738
31514.0,1.254756,-0.09667578,-0.2845143
31547.0,1.2340766,-0.09370245,-0.317216
31594.0,1.2313477,-0.081612036,-0.37512574
31580.0,1.2529525,-0.09057604,-0.3263651
31576.0,1.2485837,-0.07972157,-0.24222305
31576.5,1.2686365,-0.07068619,-0.092122786
31576.5,1.2453059,-0.066253126,0.046731636
31576.5,1.2321889,-0.05669838,-0.14877078
31575.5,1.2467228,-0.067551345,-0.17747247
31572.5,1.2605377,-0.07871547,-0.01613033
31570.0,1.2237669,-0.06300619,-0.22029209
31570.0,1.2299793,-0.0690235,-0.2883429
31563.5,1.2405838,-0.063035816,-0.3212931
31556.5,1.2534825,-0.04999446,-0.30710894
31570.5,1.2679166,-0.048291434,-0.2449965
31565.0,1.2397095,-0.03336302,-0.21465243
31561.0,1.2368226,-0.03433415,-0.3014795
31545.0,1.2449644,-0.048736334,-0.3271835
31533.0,1.2344242,-0.058311168,-0.3279062
31520.0,1.2329067,-0.042863976,-0.35996214
31520.0,1.2541865,-0.057715178,-0.34608218
31510.5,1.2639486,-0.06249787,-0.31369522
31505.0,1.2448454,-0.052049983,-0.37310576
31502.0,1.2371796,-0.056025553,-0.40145898
31503.5,1.2366749,-0.059778605,-0.43118152
31523.5,1.2479305,-0.07013579,-0.4700695
31526.0,1.2368251,-0.0747357,-0.5029447
31502.5,1.2381268,-0.07532978,-0.47472802
31501.0,1.23574,-0.06382848,-0.38959473
